                                                                                                                                                                
Epoch 0 | Batch     0 | Total:     1.2368 | Pred:  0.6570 | Var:  0.6675 | Cov:  0.2288
Epoch 0 | Batch    65 | Total:     1.4825 | Pred:  0.9229 | Var:  0.6366 | Cov:  0.2514
Epoch 0 | Batch   130 | Total:     1.6264 | Pred:  1.0632 | Var:  0.6271 | Cov:  0.3076
Epoch 0 | Batch   195 | Total:     1.6167 | Pred:  1.0539 | Var:  0.6264 | Cov:  0.3081
Epoch 0 | Batch   260 | Total:     1.6749 | Pred:  1.1073 | Var:  0.6244 | Cov:  0.3403
Epoch 0 | Batch   325 | Total:     1.6766 | Pred:  1.1169 | Var:  0.6214 | Cov:  0.3132
Epoch 0 | Batch   390 | Total:     1.6870 | Pred:  1.1206 | Var:  0.6240 | Cov:  0.3356
Epoch 0 | Batch   455 | Total:     1.6617 | Pred:  1.0895 | Var:  0.6252 | Cov:  0.3601
Epoch 0 | Batch   520 | Total:     1.6534 | Pred:  1.0794 | Var:  0.6264 | Cov:  0.3642
Epoch 0 | Batch   585 | Total:     1.6793 | Pred:  1.1049 | Var:  0.6248 | Cov:  0.3728
Epoch 0 | Batch   650 | Total:     1.7075 | Pred:  1.1319 | Var:  0.6260 | Cov:  0.3737
Epoch 0 | Batch   715 | Total:     1.7221 | Pred:  1.1494 | Var:  0.6235 | Cov:  0.3697
Epoch 0 | Batch   780 | Total:     1.7173 | Pred:  1.1491 | Var:  0.6268 | Cov:  0.3338
Epoch 0 | Batch   845 | Total:     1.6708 | Pred:  1.0946 | Var:  0.6255 | Cov:  0.3794
Epoch 0 | Batch   910 | Total:     1.6808 | Pred:  1.0936 | Var:  0.6309 | Cov:  0.4119
Epoch 0 | Batch   975 | Total:     1.6837 | Pred:  1.1046 | Var:  0.6303 | Cov:  0.3738
Epoch 0 | Batch  1040 | Total:     1.6905 | Pred:  1.1076 | Var:  0.6284 | Cov:  0.4008
Epoch 0 | Batch  1105 | Total:     1.7002 | Pred:  1.1177 | Var:  0.6298 | Cov:  0.3933
Epoch 0 | Batch  1170 | Total:     1.6604 | Pred:  1.0767 | Var:  0.6323 | Cov:  0.3892
Epoch 0 | Batch  1235 | Total:     1.6656 | Pred:  1.0848 | Var:  0.6289 | Cov:  0.3881
Epoch 0 | Batch  1300 | Total:     1.6707 | Pred:  1.0898 | Var:  0.6332 | Cov:  0.3717
Epoch 0 | Batch  1365 | Total:     1.6387 | Pred:  1.0660 | Var:  0.6318 | Cov:  0.3361
Epoch 0 | Batch  1430 | Total:     1.6666 | Pred:  1.0887 | Var:  0.6339 | Cov:  0.3538
Epoch 0 | Batch  1495 | Total:     1.6584 | Pred:  1.0765 | Var:  0.6353 | Cov:  0.3683
Epoch 0 | Batch  1560 | Total:     1.6761 | Pred:  1.0918 | Var:  0.6390 | Cov:  0.3657
